year,1501001002,1501001003,1501001006,1502000101,1502000102,1502000201,1502000501,1502000806,1502001501,1503010103,1503010104,1503010107,1503010302,1503010503,1503010504,1503010505,1503010601,1503010602,1503010701,1503010702,1503010803,1503020106,1503020301,1503020305,1503020404,1504000207,1504000208,1504000403,1504000506,1504000507,1504000508,1504000509,1504000603,1504000604,1504000606,1505010001,1505010002,1505010004,1505010007,1505020106,1505020107,1505020205,1505020206,1505020207,1505020208,1505020209,1505020211,1505020302,1505020303,1505020305,1505020307,1505020308,1505020309,1505030101,1505030102,1505030103,1505030104,1505030105,1505030106,1505030107,1505030108,1505030109,1505030201,1505030202,1505030203,1505030302,1505030401,1506010304,1506010306,1506010502,1506010503,1506010504,1506010603,1506020107,1506020108,1506020201,1506020203,1506020205,1506020206,1506020207,1506020301,1506020302,1506020303,1507010101,1507010102,1507010202,1507010204,1507010205,1507010206,1507010208,1507010209,1507010301,1507010303,1507010305,1507010405,1507010406,1507010407,1507020111,1507020113,1507020115,1508010203,1508030103,1508030104,1508030201
1989,59.0,59.0,104.0,45.0,23.5,130.0,40.3,,48.0,86.75,15.0,,131.4,89.2075,107.325,79.0,120.0,34.0,58.5,,8.0,60.0,39.2,88.6,16.1,36.0,36.045,40.0,38.0,39.225,70.0,41.675,90.0,77.26,,,,24.6,0.0,54.0,,60.0,76.0,24.0,10.0,25.5,41.225,52.0,56.6,64.0,51.6,27.0,,7.65,12.3,33.9,48.6,26.0,,0.0,39.0,86.5,67.0,73.69999999999999,73.375,29.5,71.0,,41.0,81.0,35.785,16.0,57.0,50.65,83.9,22.5,90.0,21.0,18.0,30.0,18.0,31.0,24.0,59.45,32.575,35.0,,,107.0,32.0,102.0,25.0,145.0,75.0,32.4,,101.75,12.0,12.5,11.0,83.7,16.85,78.5,29.8
1990,62.5,62.5,,28.0,22.0,26.5,96.025,,23.0,40.5,27.8,61.9,89.15,,,90.0,120.42,37.5,15.25,15.0,12.0,42.47,78.0,93.9,28.35,,35.6,6.1,45.0,42.25,57.7,44.35,31.0,65.02,115.0,25.15,9.3,5.25,38.3,52.5,68.6,21.38,53.0,45.4,80.7625,30.1,47.2,47.45,72.85,18.0,35.42,37.75,18.6,7.2,15.0,9.9,43.55,28.4,40.0,0.0,43.855,78.62,,84.535,77.9,,40.0,,8.0,75.0,38.0,17.5,62.0,45.95,93.225,64.25,8.0,17.5,70.75,39.75,25.0,25.49,29.0,43.0,53.625,64.0,,0.0,33.25,24.0,0.0,25.0,32.0,30.0,49.0,,57.25,,10.5,27.5,84.89500000000001,52.625,55.0,34.05
1991,18.025,16.0,14.35,24.0,24.0,0.0,48.0,,75.9,41.0,17.0,19.0,,83.69999999999999,99.55,86.8,120.5,35.0,16.0,90.0,11.0,20.0,68.0,8.0,,,,,24.5,33.0,5.5,,,107.0,,13.0,88.5,22.715,29.6,57.5,,79.0,67.5,,40.0,20.25,43.0,,,,,,36.0,7.44,55.8,17.25,46.9,23.1,,0.0,89.9,106.0,39.0,37.275,39.3,36.4,,,36.25,,33.965,17.0,44.0,,,70.3,23.0,93.0,51.4,38.5,,20.8325,38.5,44.2,19.4,28.25,,,34.55,20.9,27.05,32.0,83.8,38.099999999999994,42.05,161.5,108.5,7.0,7.0,50.5,84.33500000000001,85.5,,
1992,66.0,66.0,23.5,140.0,14.75,,80.0,17.0,76.1,65.0,15.0,31.75,,85.2,99.25,100.0,123.4,51.5,22.0,15.7,8.5,,29.0,,,,38.6025,30.0,23.0,38.3,36.55,14.3,,28.635,96.0,49.755,16.81,22.3,13.8,,0.0,,87.5,,9.0,53.3,50.35,,54.4,,44.9,32.475,22.405,,45.8,14.0,43.45,26.35,15.0,,,115.0,,34.175,38.58,34.1,,24.0,0.0,45.0,58.5,25.0,54.5,11.375,29.950000000000003,28.0,52.5,53.75,76.0,35.0,50.0,86.2,36.5,42.2,84.0,85.0,,,45.0,52.0,82.0,20.0,97.0,,55.7,,,17.6,16.15,12.6,96.3675,17.52,,29.0
1993,60.0,,,7.5,8.5,5.0,,60.5,53.345,67.5,21.5,100.0,60.0,85.725,92.775,81.5,136.2,65.0,16.5,,9.5,,35.0,,13.4,34.75,26.775,,,26.4,50.3,36.4,97.3,62.275,97.3,29.25,10.6,12.2,13.2,44.0,60.0,8.0,53.75,,7.0,52.2,41.46,55.0,43.1,40.0,17.45,21.725,14.6,6.9,26.64,21.195,39.0,30.0,34.5,,59.85,101.0,107.5,13.5,13.56,38.1,64.5,,18.0,9.0,24.5,8.0,40.0,145.0,112.5,48.1,60.0,42.0,77.0,60.0,,20.75,16.5,33.5,41.4,37.025,55.0,70.0,0.0,13.0,70.0,16.0,45.0,81.0,57.6,,101.19999999999999,,,10.0,87.575,63.25,44.0,28.85
1994,58.9,57.8,42.5,34.0,0.0,6.0,18.775,0.0,72.0,49.0,16.5,75.0,65.75,42.9,100.1,93.675,125.5,43.0,14.0,12.0,8.75,47.1,54.825,87.1,17.4,38.0,45.55,63.0,22.0,38.775,38.85,34.875,96.8,95.0,97.25,64.2,12.7,15.0,15.2,69.05,60.15,37.0,49.25,68.0,15.0,65.25,38.825,48.6,58.4,16.9,19.3,21.75,20.0,7.3,62.5,71.5,,,82.5,72.5,69.66499999999999,92.105,105.0,38.959999999999994,49.66,31.0,91.0,,50.0,,24.15,18.0,27.0,51.650000000000006,82.15,51.6,62.0,25.5,22.4,31.5,12.0,24.65,21.25,40.0,13.0,38.85,17.5,58.75,37.0,40.0,62.0,92.5,107.5,,57.35,,0.0,40.0,40.25,12.5,101.95,104.0,59.5,
1995,69.0,69.5,35.0,15.5,10.0,,85.0,22.0,67.9125,64.0,23.0,20.0,99.1,86.9,82.9,93.225,,51.5,25.0,,7.5,60.25,80.75,85.4,25.7,,34.1,,37.0,34.15,63.425,54.2,98.0,78.4,98.0,45.2,20.85,26.2,15.3,44.0,,56.5,28.88,66.89,14.0,0.0,13.5,,49.8,27.5,60.0,29.95,17.2,7.2,13.5,20.5,45.1,18.0,23.7,134.6,55.15,95.87,,14.274999999999999,31.665,28.2,34.9,17.0,11.0,,40.55,28.5,31.5,,,27.0,32.25,70.0,20.85,25.0,31.0,25.1,29.25,46.9,47.8,64.2,40.0,35.0,,16.0,35.0,,51.5,0.0,39.2,,42.5,39.0,39.0,30.0,103.97999999999999,105.0,30.5,29.0
1996,43.0,43.0,43.0,77.5,51.0,25.0,,,76.0,97.5,18.0,6.0,67.8,95.65,117.3,74.0,129.35,,9.0,4.0,10.0,52.1,69.0,,,26.0,56.0,51.0,47.5,17.325,64.65,66.3,98.3,,98.3,24.825,17.6,0.0,15.9,75.0,,,45.0,66.15,38.0,59.599999999999994,32.3,126.0,91.8,42.15,31.95,26.349999999999998,18.45,7.1,25.8,16.0,25.14,16.25,24.13,30.0,,90.0,38.0,77.11500000000001,73.035,26.8,15.0,18.0,80.0,82.5,34.775,14.0,38.0,41.5,,12.5,,83.0,80.0,31.25,0.0,39.0,33.25,47.25,95.0,57.5,65.0,,40.0,0.0,28.5,15.5,29.0,90.0,26.3,0.0,100.0,10.0,10.0,13.5,104.7,79.25,58.5,29.7
1997,,,,42.5,27.0,,70.0,29.0,58.05,83.0,,5.0,110.0,90.975,101.8,86.5,,45.5,12.0,12.0,11.0,53.7,57.5,,21.9,11.5,103.0,,43.5,30.25,,,99.45,42.45,99.45,,,22.495,22.2,,,,85.0,66.25,24.0,50.0,,,,5.24,50.7,25.0,,6.38,27.15,23.65,27.34,23.200000000000003,20.48,15.0,75.745,95.46,,69.95625000000001,52.02,24.65,110.0,40.0,15.0,50.0,37.4,15.0,51.0,25.0,0.0,30.0,60.0,57.5,90.0,30.0,15.0,28.9,24.0,30.9,55.425,50.0,67.0,25.0,43.6,,28.0,50.0,71.625,19.15,25.5,184.3,53.75,,,20.0,106.2,41.0,50.0,
1998,,,,15.0,15.0,23.0,30.25,115.0,73.19999999999999,70.0,18.0,50.0,100.0,96.92,97.30000000000001,82.5,132.0,42.0,84.0,,11.0,,63.5,,61.3,29.0,68.0,39.0,51.5,28.0,60.0,60.0,99.815,32.0,99.815,50.0,,10.8,64.65,72.5,,60.725,53.5,66.45,80.5,60.0,42.0,44.0,,5.67,,90.0,,,25.25,19.7,39.875,20.799999999999997,39.400000000000006,,79.48,101.83,42.0,44.9,60.885000000000005,32.2,,82.5,35.5,58.75,29.58,11.0,60.75,13.25,,53.32,,110.0,80.0,40.0,,29.58,23.5,60.0,80.0,53.425,40.0,11.0,,49.5,71.0,,1.0,85.0,34.0,150.0,120.6,,7.0,49.0,106.59,49.425,51.8,29.3
