,Decade,huc4,DTW_Category,Well Count
0,1980,1501,Deep (10-61m),5
1,1980,1501,Near Surface (<2m),5
2,1980,1501,Shallow (5-10m),3
3,1980,1501,Very Shallow (2-5m),6
4,1980,1502,Deep (10-61m),38
5,1980,1502,Near Surface (<2m),30
6,1980,1502,Shallow (5-10m),32
7,1980,1502,Very Shallow (2-5m),31
8,1980,1503,Deep (10-61m),40
9,1980,1503,Near Surface (<2m),28
10,1980,1503,Shallow (5-10m),40
11,1980,1503,Very Shallow (2-5m),25
12,1980,1504,Deep (10-61m),89
13,1980,1504,Near Surface (<2m),20
14,1980,1504,Shallow (5-10m),60
15,1980,1504,Very Shallow (2-5m),44
16,1980,1505,Deep (10-61m),187
17,1980,1505,Near Surface (<2m),86
18,1980,1505,Shallow (5-10m),125
19,1980,1505,Very Shallow (2-5m),94
20,1980,1506,Deep (10-61m),214
21,1980,1506,Near Surface (<2m),51
22,1980,1506,Shallow (5-10m),210
23,1980,1506,Very Shallow (2-5m),111
24,1980,1507,Deep (10-61m),103
25,1980,1507,Near Surface (<2m),31
26,1980,1507,Shallow (5-10m),53
27,1980,1507,Very Shallow (2-5m),40
28,1980,1508,Deep (10-61m),7
29,1980,1508,Near Surface (<2m),5
30,1980,1508,Shallow (5-10m),5
31,1980,1508,Very Shallow (2-5m),12
32,1990,1501,Deep (10-61m),11
33,1990,1501,Near Surface (<2m),4
34,1990,1501,Shallow (5-10m),4
35,1990,1501,Very Shallow (2-5m),3
36,1990,1502,Deep (10-61m),27
37,1990,1502,Near Surface (<2m),16
38,1990,1502,Shallow (5-10m),19
39,1990,1502,Very Shallow (2-5m),30
40,1990,1503,Deep (10-61m),52
41,1990,1503,Near Surface (<2m),16
42,1990,1503,Shallow (5-10m),29
43,1990,1503,Very Shallow (2-5m),39
44,1990,1504,Deep (10-61m),48
45,1990,1504,Near Surface (<2m),9
46,1990,1504,Shallow (5-10m),22
47,1990,1504,Very Shallow (2-5m),22
48,1990,1505,Deep (10-61m),252
49,1990,1505,Near Surface (<2m),68
50,1990,1505,Shallow (5-10m),129
51,1990,1505,Very Shallow (2-5m),148
52,1990,1506,Deep (10-61m),207
53,1990,1506,Near Surface (<2m),88
54,1990,1506,Shallow (5-10m),175
55,1990,1506,Very Shallow (2-5m),146
56,1990,1507,Deep (10-61m),102
57,1990,1507,Near Surface (<2m),30
58,1990,1507,Shallow (5-10m),48
59,1990,1507,Very Shallow (2-5m),28
60,1990,1508,Deep (10-61m),17
61,1990,1508,Near Surface (<2m),8
62,1990,1508,Shallow (5-10m),15
63,1990,1508,Very Shallow (2-5m),19
64,2000,1501,Deep (10-61m),6
65,2000,1501,Near Surface (<2m),2
66,2000,1501,Shallow (5-10m),6
67,2000,1501,Very Shallow (2-5m),3
68,2000,1502,Deep (10-61m),37
69,2000,1502,Near Surface (<2m),6
70,2000,1502,Shallow (5-10m),25
71,2000,1502,Very Shallow (2-5m),20
72,2000,1503,Deep (10-61m),39
73,2000,1503,Near Surface (<2m),9
74,2000,1503,Shallow (5-10m),15
75,2000,1503,Very Shallow (2-5m),17
76,2000,1504,Deep (10-61m),50
77,2000,1504,Near Surface (<2m),2
78,2000,1504,Shallow (5-10m),32
79,2000,1504,Very Shallow (2-5m),19
80,2000,1505,Deep (10-61m),222
81,2000,1505,Near Surface (<2m),19
82,2000,1505,Shallow (5-10m),94
83,2000,1505,Very Shallow (2-5m),126
84,2000,1506,Deep (10-61m),140
85,2000,1506,Near Surface (<2m),21
86,2000,1506,Shallow (5-10m),106
87,2000,1506,Very Shallow (2-5m),71
88,2000,1507,Deep (10-61m),97
89,2000,1507,Near Surface (<2m),6
90,2000,1507,Shallow (5-10m),46
91,2000,1507,Very Shallow (2-5m),39
92,2000,1508,Deep (10-61m),12
93,2000,1508,Near Surface (<2m),4
94,2000,1508,Shallow (5-10m),12
95,2000,1508,Very Shallow (2-5m),9
96,2010,1501,Deep (10-61m),5
97,2010,1501,Near Surface (<2m),36
98,2010,1501,Shallow (5-10m),4
99,2010,1501,Very Shallow (2-5m),2
100,2010,1502,Deep (10-61m),11
101,2010,1502,Near Surface (<2m),1
102,2010,1502,Shallow (5-10m),5
103,2010,1502,Very Shallow (2-5m),1
104,2010,1503,Deep (10-61m),11
105,2010,1503,Near Surface (<2m),1
106,2010,1503,Shallow (5-10m),8
107,2010,1503,Very Shallow (2-5m),5
108,2010,1504,Deep (10-61m),24
109,2010,1504,Near Surface (<2m),1
110,2010,1504,Shallow (5-10m),6
111,2010,1504,Very Shallow (2-5m),12
112,2010,1505,Deep (10-61m),115
113,2010,1505,Near Surface (<2m),20
114,2010,1505,Shallow (5-10m),61
115,2010,1505,Very Shallow (2-5m),70
116,2010,1506,Deep (10-61m),38
117,2010,1506,Near Surface (<2m),6
118,2010,1506,Shallow (5-10m),40
119,2010,1506,Very Shallow (2-5m),29
120,2010,1507,Deep (10-61m),31
121,2010,1507,Near Surface (<2m),2
122,2010,1507,Shallow (5-10m),21
123,2010,1507,Very Shallow (2-5m),6
124,2010,1508,Deep (10-61m),3
125,2010,1508,Near Surface (<2m),3
126,2010,1508,Shallow (5-10m),9
127,2010,1508,Very Shallow (2-5m),7
128,2020,1501,Deep (10-61m),2
129,2020,1501,Near Surface (<2m),1
130,2020,1501,Shallow (5-10m),1
131,2020,1501,Very Shallow (2-5m),1
132,2020,1502,Deep (10-61m),2
133,2020,1502,Near Surface (<2m),2
134,2020,1502,Shallow (5-10m),3
135,2020,1502,Very Shallow (2-5m),2
136,2020,1503,Deep (10-61m),7
137,2020,1503,Shallow (5-10m),6
138,2020,1504,Deep (10-61m),10
139,2020,1504,Near Surface (<2m),1
140,2020,1504,Shallow (5-10m),5
141,2020,1504,Very Shallow (2-5m),1
142,2020,1505,Deep (10-61m),36
143,2020,1505,Near Surface (<2m),4
144,2020,1505,Shallow (5-10m),36
145,2020,1505,Very Shallow (2-5m),36
146,2020,1506,Deep (10-61m),19
147,2020,1506,Near Surface (<2m),5
148,2020,1506,Shallow (5-10m),21
149,2020,1506,Very Shallow (2-5m),16
150,2020,1507,Deep (10-61m),20
151,2020,1507,Near Surface (<2m),1
152,2020,1507,Shallow (5-10m),9
153,2020,1507,Very Shallow (2-5m),2
154,2020,1508,Near Surface (<2m),3
155,2020,1508,Shallow (5-10m),8
156,2020,1508,Very Shallow (2-5m),5
