,Decade,huc8,DTW_Category,Well Count
0,1980,15010001,Near Surface (<2m),1
1,1980,15010003,Deep (10-61m),1
2,1980,15010003,Near Surface (<2m),4
3,1980,15010003,Shallow (5-10m),1
4,1980,15010004,Near Surface (<2m),13
5,1980,15010004,Very Shallow (2-5m),4
6,1980,15010005,Deep (10-61m),1
7,1980,15010005,Shallow (5-10m),1
8,1980,15010005,Very Shallow (2-5m),2
9,1980,15010006,Near Surface (<2m),1
10,1980,15010006,Very Shallow (2-5m),1
11,1980,15010007,Deep (10-61m),7
12,1980,15010007,Shallow (5-10m),6
13,1980,15010007,Very Shallow (2-5m),3
14,1980,15010009,Deep (10-61m),1
15,1980,15010009,Near Surface (<2m),3
16,1980,15010009,Shallow (5-10m),3
17,1980,15010009,Very Shallow (2-5m),3
18,1980,15010010,Deep (10-61m),10
19,1980,15010010,Near Surface (<2m),2
20,1980,15010010,Shallow (5-10m),8
21,1980,15010010,Very Shallow (2-5m),5
22,1980,15010014,Deep (10-61m),1
23,1980,15010014,Shallow (5-10m),1
24,1980,15010014,Very Shallow (2-5m),1
25,1980,15020001,Deep (10-61m),42
26,1980,15020001,Near Surface (<2m),17
27,1980,15020001,Shallow (5-10m),52
28,1980,15020001,Very Shallow (2-5m),33
29,1980,15020002,Deep (10-61m),13
30,1980,15020002,Near Surface (<2m),2
31,1980,15020002,Shallow (5-10m),3
32,1980,15020002,Very Shallow (2-5m),3
33,1980,15020003,Near Surface (<2m),7
34,1980,15020004,Deep (10-61m),4
35,1980,15020005,Deep (10-61m),27
36,1980,15020005,Shallow (5-10m),4
37,1980,15020005,Very Shallow (2-5m),3
38,1980,15020006,Shallow (5-10m),1
39,1980,15020006,Very Shallow (2-5m),1
40,1980,15020007,Deep (10-61m),3
41,1980,15020007,Shallow (5-10m),4
42,1980,15020007,Very Shallow (2-5m),2
43,1980,15020008,Deep (10-61m),5
44,1980,15020008,Near Surface (<2m),8
45,1980,15020008,Shallow (5-10m),20
46,1980,15020008,Very Shallow (2-5m),1
47,1980,15020011,Shallow (5-10m),1
48,1980,15020015,Deep (10-61m),51
49,1980,15020015,Near Surface (<2m),12
50,1980,15020015,Shallow (5-10m),8
51,1980,15020015,Very Shallow (2-5m),13
52,1980,15020016,Near Surface (<2m),4
53,1980,15020016,Shallow (5-10m),1
54,1980,15020017,Near Surface (<2m),2
55,1980,15020017,Shallow (5-10m),3
56,1980,15020018,Deep (10-61m),1
57,1980,15020018,Near Surface (<2m),8
58,1980,15020018,Shallow (5-10m),10
59,1980,15020018,Very Shallow (2-5m),13
60,1980,15030101,Deep (10-61m),49
61,1980,15030101,Near Surface (<2m),7
62,1980,15030101,Shallow (5-10m),18
63,1980,15030101,Very Shallow (2-5m),18
64,1980,15030103,Deep (10-61m),7
65,1980,15030103,Near Surface (<2m),2
66,1980,15030103,Shallow (5-10m),1
67,1980,15030103,Very Shallow (2-5m),1
68,1980,15030104,Deep (10-61m),7
69,1980,15030104,Near Surface (<2m),4
70,1980,15030104,Shallow (5-10m),19
71,1980,15030104,Very Shallow (2-5m),7
72,1980,15030105,Deep (10-61m),66
73,1980,15030105,Near Surface (<2m),2
