,Decade,huc8,DTW_Category,Well Count
0,1980,14080204,Shallow (5-10m),1
1,1980,14080204,Very Shallow (2-5m),1
2,1980,15010001,Near Surface (<2m),2
3,1980,15010002,Near Surface (<2m),1
4,1980,15010003,Deep (10-61m),2
5,1980,15010003,Near Surface (<2m),10
6,1980,15010003,Shallow (5-10m),2
7,1980,15010004,Deep (10-61m),3
8,1980,15010004,Near Surface (<2m),41
9,1980,15010004,Very Shallow (2-5m),5
10,1980,15010005,Deep (10-61m),1
11,1980,15010005,Shallow (5-10m),1
12,1980,15010005,Very Shallow (2-5m),2
13,1980,15010006,Near Surface (<2m),3
14,1980,15010006,Very Shallow (2-5m),1
15,1980,15010007,Deep (10-61m),13
16,1980,15010007,Near Surface (<2m),2
17,1980,15010007,Shallow (5-10m),7
18,1980,15010007,Very Shallow (2-5m),3
19,1980,15010009,Deep (10-61m),2
20,1980,15010009,Near Surface (<2m),7
21,1980,15010009,Shallow (5-10m),3
22,1980,15010009,Very Shallow (2-5m),3
23,1980,15010010,Deep (10-61m),43
24,1980,15010010,Near Surface (<2m),2
25,1980,15010010,Shallow (5-10m),12
26,1980,15010010,Very Shallow (2-5m),6
27,1980,15010014,Deep (10-61m),1
28,1980,15010014,Near Surface (<2m),4
29,1980,15010014,Shallow (5-10m),1
30,1980,15010014,Very Shallow (2-5m),1
31,1980,15020001,Deep (10-61m),81
32,1980,15020001,Near Surface (<2m),21
33,1980,15020001,Shallow (5-10m),82
34,1980,15020001,Very Shallow (2-5m),52
35,1980,15020002,Deep (10-61m),34
36,1980,15020002,Near Surface (<2m),7
37,1980,15020002,Shallow (5-10m),7
38,1980,15020002,Very Shallow (2-5m),3
39,1980,15020003,Deep (10-61m),4
40,1980,15020003,Near Surface (<2m),10
41,1980,15020004,Deep (10-61m),5
42,1980,15020004,Shallow (5-10m),1
43,1980,15020005,Deep (10-61m),66
44,1980,15020005,Near Surface (<2m),7
45,1980,15020005,Shallow (5-10m),8
46,1980,15020005,Very Shallow (2-5m),6
47,1980,15020006,Near Surface (<2m),1
48,1980,15020006,Shallow (5-10m),3
49,1980,15020006,Very Shallow (2-5m),1
50,1980,15020007,Deep (10-61m),10
51,1980,15020007,Near Surface (<2m),1
52,1980,15020007,Shallow (5-10m),10
53,1980,15020007,Very Shallow (2-5m),2
54,1980,15020008,Deep (10-61m),31
55,1980,15020008,Near Surface (<2m),15
56,1980,15020008,Shallow (5-10m),23
57,1980,15020008,Very Shallow (2-5m),4
58,1980,15020009,Deep (10-61m),1
59,1980,15020009,Shallow (5-10m),2
60,1980,15020009,Very Shallow (2-5m),1
61,1980,15020010,Near Surface (<2m),1
62,1980,15020011,Deep (10-61m),1
63,1980,15020011,Near Surface (<2m),1
64,1980,15020011,Shallow (5-10m),1
65,1980,15020011,Very Shallow (2-5m),2
66,1980,15020015,Deep (10-61m),103
67,1980,15020015,Near Surface (<2m),17
68,1980,15020015,Shallow (5-10m),28
69,1980,15020015,Very Shallow (2-5m),17
70,1980,15020016,Deep (10-61m),1
71,1980,15020016,Near Surface (<2m),9
72,1980,15020016,Shallow (5-10m),1
73,1980,15020017,Near Surface (<2m),2
74,1980,15020017,Shallow (5-10m),3
75,1980,15020018,Deep (10-61m),1
76,1980,15020018,Near Surface (<2m),9
77,1980,15020018,Shallow (5-10m),11
78,1980,15020018,Very Shallow (2-5m),15
79,1980,15030101,Deep (10-61m),261
80,1980,15030101,Near Surface (<2m),19
81,1980,15030101,Shallow (5-10m),61
82,1980,15030101,Very Shallow (2-5m),67
83,1980,15030103,Deep (10-61m),19
84,1980,15030103,Near Surface (<2m),6
85,1980,15030103,Shallow (5-10m),2
86,1980,15030103,Very Shallow (2-5m),1
87,1980,15030104,Deep (10-61m),10
88,1980,15030104,Near Surface (<2m),9
89,1980,15030104,Shallow (5-10m),22
90,1980,15030104,Very Shallow (2-5m),10
91,1980,15030105,Deep (10-61m),122
92,1980,15030105,Near Surface (<2m),11
93,1980,15030106,Deep (10-61m),143
94,1980,15030106,Near Surface (<2m),13
95,1980,15030106,Shallow (5-10m),89
96,1980,15030106,Very Shallow (2-5m),2
97,1980,15030107,Deep (10-61m),16
98,1980,15030107,Near Surface (<2m),34
99,1980,15030107,Shallow (5-10m),40
100,1980,15030107,Very Shallow (2-5m),99
101,1980,15030108,Deep (10-61m),5
102,1980,15030108,Near Surface (<2m),7
103,1980,15030108,Shallow (5-10m),2
104,1980,15030108,Very Shallow (2-5m),23
105,1980,15030201,Deep (10-61m),54
106,1980,15030201,Near Surface (<2m),22
107,1980,15030201,Shallow (5-10m),43
108,1980,15030201,Very Shallow (2-5m),30
109,1980,15030202,Deep (10-61m),3
110,1980,15030202,Near Surface (<2m),4
111,1980,15030202,Shallow (5-10m),1
112,1980,15030203,Deep (10-61m),72
113,1980,15030203,Near Surface (<2m),23
114,1980,15030203,Shallow (5-10m),24
115,1980,15030203,Very Shallow (2-5m),14
116,1980,15030204,Deep (10-61m),6
117,1980,15030204,Near Surface (<2m),5
118,1980,15030204,Shallow (5-10m),12
119,1980,15030204,Very Shallow (2-5m),5
120,1980,15040002,Deep (10-61m),80
121,1980,15040002,Near Surface (<2m),8
122,1980,15040002,Shallow (5-10m),17
123,1980,15040002,Very Shallow (2-5m),24
124,1980,15040004,Deep (10-61m),42
125,1980,15040004,Near Surface (<2m),12
126,1980,15040004,Shallow (5-10m),25
127,1980,15040004,Very Shallow (2-5m),14
128,1980,15040005,Deep (10-61m),256
129,1980,15040005,Near Surface (<2m),32
130,1980,15040005,Shallow (5-10m),217
131,1980,15040005,Very Shallow (2-5m),142
132,1980,15040006,Deep (10-61m),161
133,1980,15040006,Near Surface (<2m),6
134,1980,15040006,Shallow (5-10m),37
135,1980,15040006,Very Shallow (2-5m),21
136,1980,15040007,Deep (10-61m),2
137,1980,15050100,Deep (10-61m),59
138,1980,15050100,Near Surface (<2m),39
139,1980,15050100,Shallow (5-10m),31
140,1980,15050100,Very Shallow (2-5m),17
141,1980,15050201,Deep (10-61m),146
142,1980,15050201,Near Surface (<2m),4
143,1980,15050201,Shallow (5-10m),17
144,1980,15050201,Very Shallow (2-5m),2
145,1980,15050202,Deep (10-61m),303
146,1980,15050202,Near Surface (<2m),31
147,1980,15050202,Shallow (5-10m),108
148,1980,15050202,Very Shallow (2-5m),39
149,1980,15050203,Deep (10-61m),69
150,1980,15050203,Near Surface (<2m),11
151,1980,15050203,Shallow (5-10m),54
152,1980,15050203,Very Shallow (2-5m),19
153,1980,15050301,Deep (10-61m),388
154,1980,15050301,Near Surface (<2m),168
155,1980,15050301,Shallow (5-10m),119
156,1980,15050301,Very Shallow (2-5m),96
157,1980,15050302,Deep (10-61m),142
158,1980,15050302,Near Surface (<2m),59
159,1980,15050302,Shallow (5-10m),53
160,1980,15050302,Very Shallow (2-5m),29
161,1980,15050303,Deep (10-61m),24
162,1980,15050303,Near Surface (<2m),15
163,1980,15050303,Shallow (5-10m),5
164,1980,15050303,Very Shallow (2-5m),1
165,1980,15050304,Deep (10-61m),84
166,1980,15050304,Near Surface (<2m),13
167,1980,15050304,Shallow (5-10m),32
168,1980,15050304,Very Shallow (2-5m),23
169,1980,15050305,Deep (10-61m),1
170,1980,15050306,Deep (10-61m),2
171,1980,15060102,Shallow (5-10m),1
172,1980,15060103,Deep (10-61m),112
173,1980,15060103,Near Surface (<2m),57
174,1980,15060103,Shallow (5-10m),90
175,1980,15060103,Very Shallow (2-5m),71
176,1980,15060104,Near Surface (<2m),1
177,1980,15060104,Very Shallow (2-5m),1
178,1980,15060105,Deep (10-61m),152
179,1980,15060105,Near Surface (<2m),38
180,1980,15060105,Shallow (5-10m),146
