,Decade,huc4,DTW_Category,Well Count
0,1980,1408,Shallow (5-10m),1
1,1980,1408,Very Shallow (2-5m),1
2,1980,1501,Deep (10-61m),61
3,1980,1501,Near Surface (<2m),55
4,1980,1501,Shallow (5-10m),24
5,1980,1501,Very Shallow (2-5m),21
6,1980,1502,Deep (10-61m),301
7,1980,1502,Near Surface (<2m),90
8,1980,1502,Shallow (5-10m),168
9,1980,1502,Very Shallow (2-5m),91
10,1980,1503,Deep (10-61m),601
11,1980,1503,Near Surface (<2m),130
12,1980,1503,Shallow (5-10m),280
13,1980,1503,Very Shallow (2-5m),217
14,1980,1504,Deep (10-61m),500
15,1980,1504,Near Surface (<2m),56
16,1980,1504,Shallow (5-10m),300
17,1980,1504,Very Shallow (2-5m),193
18,1980,1505,Deep (10-61m),1108
19,1980,1505,Near Surface (<2m),300
20,1980,1505,Shallow (5-10m),399
21,1980,1505,Very Shallow (2-5m),218
22,1980,1506,Deep (10-61m),1181
23,1980,1506,Near Surface (<2m),281
24,1980,1506,Shallow (5-10m),779
25,1980,1506,Very Shallow (2-5m),464
26,1980,1507,Deep (10-61m),778
27,1980,1507,Near Surface (<2m),196
28,1980,1507,Shallow (5-10m),283
29,1980,1507,Very Shallow (2-5m),221
30,1980,1508,Deep (10-61m),74
31,1980,1508,Near Surface (<2m),11
32,1980,1508,Shallow (5-10m),13
33,1980,1508,Very Shallow (2-5m),15
34,1990,1407,Near Surface (<2m),1
35,1990,1407,Shallow (5-10m),2
36,1990,1407,Very Shallow (2-5m),9
37,1990,1408,Deep (10-61m),1
38,1990,1408,Shallow (5-10m),2
39,1990,1408,Very Shallow (2-5m),1
40,1990,1501,Deep (10-61m),82
41,1990,1501,Near Surface (<2m),19
42,1990,1501,Shallow (5-10m),41
43,1990,1501,Very Shallow (2-5m),37
44,1990,1502,Deep (10-61m),303
45,1990,1502,Near Surface (<2m),158
46,1990,1502,Shallow (5-10m),284
47,1990,1502,Very Shallow (2-5m),215
48,1990,1503,Deep (10-61m),536
49,1990,1503,Near Surface (<2m),170
50,1990,1503,Shallow (5-10m),304
51,1990,1503,Very Shallow (2-5m),324
52,1990,1504,Deep (10-61m),336
53,1990,1504,Near Surface (<2m),46
54,1990,1504,Shallow (5-10m),174
55,1990,1504,Very Shallow (2-5m),84
56,1990,1505,Deep (10-61m),1674
57,1990,1505,Near Surface (<2m),356
58,1990,1505,Shallow (5-10m),533
59,1990,1505,Very Shallow (2-5m),382
60,1990,1506,Deep (10-61m),1509
61,1990,1506,Near Surface (<2m),401
62,1990,1506,Shallow (5-10m),786
63,1990,1506,Very Shallow (2-5m),463
64,1990,1507,Deep (10-61m),769
65,1990,1507,Near Surface (<2m),208
66,1990,1507,Shallow (5-10m),274
67,1990,1507,Very Shallow (2-5m),279
68,1990,1508,Deep (10-61m),175
69,1990,1508,Near Surface (<2m),18
70,1990,1508,Shallow (5-10m),37
71,1990,1508,Very Shallow (2-5m),35
72,2000,1407,Near Surface (<2m),2
73,2000,1408,Shallow (5-10m),2
74,2000,1408,Very Shallow (2-5m),1
