,Decade,huc4,DTW_Category,Well Count
0,1980,1408,Shallow (5-10m),1
1,1980,1408,Very Shallow (2-5m),1
2,1980,1501,Deep (10-61m),65
3,1980,1501,Near Surface (<2m),72
4,1980,1501,Shallow (5-10m),26
5,1980,1501,Very Shallow (2-5m),21
6,1980,1502,Deep (10-61m),337
7,1980,1502,Near Surface (<2m),99
8,1980,1502,Shallow (5-10m),176
9,1980,1502,Very Shallow (2-5m),100
10,1980,1503,Deep (10-61m),707
11,1980,1503,Near Surface (<2m),160
12,1980,1503,Shallow (5-10m),295
13,1980,1503,Very Shallow (2-5m),281
14,1980,1504,Deep (10-61m),557
15,1980,1504,Near Surface (<2m),59
16,1980,1504,Shallow (5-10m),303
17,1980,1504,Very Shallow (2-5m),195
18,1980,1505,Deep (10-61m),1186
19,1980,1505,Near Surface (<2m),330
20,1980,1505,Shallow (5-10m),412
21,1980,1505,Very Shallow (2-5m),225
22,1980,1506,Deep (10-61m),1283
23,1980,1506,Near Surface (<2m),304
24,1980,1506,Shallow (5-10m),851
25,1980,1506,Very Shallow (2-5m),482
26,1980,1507,Deep (10-61m),852
27,1980,1507,Near Surface (<2m),227
28,1980,1507,Shallow (5-10m),307
29,1980,1507,Very Shallow (2-5m),249
30,1980,1508,Deep (10-61m),102
31,1980,1508,Near Surface (<2m),12
32,1980,1508,Shallow (5-10m),13
33,1980,1508,Very Shallow (2-5m),15
34,1990,1407,Near Surface (<2m),16
35,1990,1407,Shallow (5-10m),3
36,1990,1407,Very Shallow (2-5m),21
37,1990,1408,Deep (10-61m),1
38,1990,1408,Shallow (5-10m),2
39,1990,1408,Very Shallow (2-5m),1
40,1990,1501,Deep (10-61m),86
41,1990,1501,Near Surface (<2m),22
42,1990,1501,Shallow (5-10m),42
43,1990,1501,Very Shallow (2-5m),37
44,1990,1502,Deep (10-61m),331
45,1990,1502,Near Surface (<2m),168
46,1990,1502,Shallow (5-10m),285
47,1990,1502,Very Shallow (2-5m),247
48,1990,1503,Deep (10-61m),599
49,1990,1503,Near Surface (<2m),209
50,1990,1503,Shallow (5-10m),330
51,1990,1503,Very Shallow (2-5m),400
52,1990,1504,Deep (10-61m),397
53,1990,1504,Near Surface (<2m),48
54,1990,1504,Shallow (5-10m),177
55,1990,1504,Very Shallow (2-5m),85
56,1990,1505,Deep (10-61m),1855
57,1990,1505,Near Surface (<2m),390
58,1990,1505,Shallow (5-10m),559
59,1990,1505,Very Shallow (2-5m),406
60,1990,1506,Deep (10-61m),1727
61,1990,1506,Near Surface (<2m),444
62,1990,1506,Shallow (5-10m),859
63,1990,1506,Very Shallow (2-5m),490
64,1990,1507,Deep (10-61m),842
65,1990,1507,Near Surface (<2m),229
66,1990,1507,Shallow (5-10m),296
67,1990,1507,Very Shallow (2-5m),320
68,1990,1508,Deep (10-61m),204
69,1990,1508,Near Surface (<2m),20
70,1990,1508,Shallow (5-10m),40
71,1990,1508,Very Shallow (2-5m),36
72,2000,1407,Near Surface (<2m),2
73,2000,1408,Shallow (5-10m),2
74,2000,1408,Very Shallow (2-5m),1
