,Decade,huc4,DTW_Category,Well Count
0,1980,1501,Deep (10-61m),44
1,1980,1501,Near Surface (<2m),42
2,1980,1501,Shallow (5-10m),24
3,1980,1501,Very Shallow (2-5m),21
4,1980,1502,Deep (10-61m),254
5,1980,1502,Near Surface (<2m),78
6,1980,1502,Shallow (5-10m),149
7,1980,1502,Very Shallow (2-5m),86
8,1980,1503,Deep (10-61m),477
9,1980,1503,Near Surface (<2m),89
10,1980,1503,Shallow (5-10m),243
11,1980,1503,Very Shallow (2-5m),140
12,1980,1504,Deep (10-61m),427
13,1980,1504,Near Surface (<2m),49
14,1980,1504,Shallow (5-10m),275
15,1980,1504,Very Shallow (2-5m),182
16,1980,1505,Deep (10-61m),972
17,1980,1505,Near Surface (<2m),259
18,1980,1505,Shallow (5-10m),378
19,1980,1505,Very Shallow (2-5m),212
20,1980,1506,Deep (10-61m),1038
21,1980,1506,Near Surface (<2m),245
22,1980,1506,Shallow (5-10m),737
23,1980,1506,Very Shallow (2-5m),429
24,1980,1507,Deep (10-61m),648
25,1980,1507,Near Surface (<2m),153
26,1980,1507,Shallow (5-10m),241
27,1980,1507,Very Shallow (2-5m),191
28,1980,1508,Deep (10-61m),53
29,1980,1508,Near Surface (<2m),9
30,1980,1508,Shallow (5-10m),12
31,1980,1508,Very Shallow (2-5m),15
32,1990,1407,Shallow (5-10m),2
33,1990,1408,Shallow (5-10m),1
34,1990,1408,Very Shallow (2-5m),1
35,1990,1501,Deep (10-61m),62
36,1990,1501,Near Surface (<2m),16
37,1990,1501,Shallow (5-10m),41
38,1990,1501,Very Shallow (2-5m),34
39,1990,1502,Deep (10-61m),265
40,1990,1502,Near Surface (<2m),96
41,1990,1502,Shallow (5-10m),232
42,1990,1502,Very Shallow (2-5m),159
43,1990,1503,Deep (10-61m),431
44,1990,1503,Near Surface (<2m),111
45,1990,1503,Shallow (5-10m),255
46,1990,1503,Very Shallow (2-5m),229
47,1990,1504,Deep (10-61m),291
48,1990,1504,Near Surface (<2m),40
49,1990,1504,Shallow (5-10m),158
50,1990,1504,Very Shallow (2-5m),76
51,1990,1505,Deep (10-61m),1388
52,1990,1505,Near Surface (<2m),297
53,1990,1505,Shallow (5-10m),485
54,1990,1505,Very Shallow (2-5m),353
55,1990,1506,Deep (10-61m),1233
56,1990,1506,Near Surface (<2m),319
57,1990,1506,Shallow (5-10m),727
58,1990,1506,Very Shallow (2-5m),434
59,1990,1507,Deep (10-61m),589
